jt,k,z_um,Imax,power,theta_min,theta_max,dtheta_max,rrms,rmax,frac_rrms,frac_rmax,I_weighted_rrms,I_weighted_frac_rrms,converged
0,18,90.0,0.16557690501213074,0.9999786198022775,0.0,0.8878921270370483,0.10269129276275635,0.0031872376519833374,0.010318216665083035,0.0009730378252581925,0.003150067927343789,0.009010407410283448,0.0027508043605523843,True
0,19,95.0,0.1573239266872406,0.9999776375479996,0.0,0.8871440291404724,0.10194319486618042,0.0031692467130504287,0.010553351390028887,0.0009738340516413884,0.00324279359515536,0.008935892243831045,0.0027457869130248355,True
0,20,100.0,0.14760249853134155,0.9999765461543575,0.0,0.8862420916557312,0.10104125738143921,0.0031486073186601815,0.010180816857865427,0.0009746631777665946,0.0031515099555727657,0.00885671940175813,0.002741630633183537,True
0,21,105.0,0.1370619535446167,0.9999752364819869,0.0,0.8852370977401733,0.10003626346588135,0.0031263376434580168,0.009867426638948462,0.0009752973523493554,0.0030782583882472993,0.008794410385815158,0.002743518500859064,True
0,22,110.0,0.12635600566864014,0.9999741450883448,0.0,0.884182333946228,0.09898149967193604,0.003102353912222713,0.00953305989108122,0.0009752325187632001,0.002996740627325359,0.008675171121689598,0.002727061200327608,True
0,23,115.0,0.11607673019170761,0.9999730536947027,0.0,0.8831555843353271,0.09795475006103516,0.0031194789024085747,0.009908966081297432,0.0009876433896112012,0.003137230657504612,0.008891140574345386,0.002814981761080694,True
0,24,120.0,0.10670609772205353,0.9999719623010606,0.0,0.8821277618408203,0.09692692756652832,0.00306080737724202,0.009841693392480089,0.0009752962079549823,0.0031359589358381473,0.008537473335674669,0.0027203820245960846,True
0,25,125.0,0.09858954697847366,0.9999709800467826,0.0,0.8812379837036133,0.09603714942932129,0.003081398156670641,0.00985483260580522,0.0009872695207283106,0.0031574549502889782,0.008730775340944661,0.002797310814177367,True
0,26,130.0,0.09193035215139389,0.9999697795137763,0.0,0.8804660439491272,0.0952652096748352,0.003105778961466265,0.009960707087831366,0.0009995976864937558,0.003205862324515697,0.008987261676330708,0.002892558063865856,True
0,27,135.0,0.08680373430252075,0.9999686881201342,0.0,0.879779577255249,0.09457874298095703,0.0030529242757724112,0.009480095621179796,0.000986091146665315,0.003062060345149192,0.008626627504302322,0.0027863910923305755,True
0,28,140.0,0.08318150043487549,0.9999674875871278,0.0,0.8792904019355774,0.0940895676612854,0.0030823795685010476,0.009963271806510576,0.000998188293401403,0.0032264752150791857,0.008881984243181977,0.0028763143852628854,True
0,29,145.0,0.08096185326576233,0.9999662870541215,0.0,0.878899097442627,0.09369826316833496,0.0030368644399505827,0.00993304369320036,0.0009851163449730918,0.003222140431682486,0.008559865674446549,0.002776700690271388,True
0,30,150.0,0.07999825477600098,0.9999651956604794,0.0,0.8787016868591309,0.09350085258483887,0.003071913362525568,0.009927955021282742,0.0009973181363047516,0.003223179963318609,0.008850299975052957,0.002873311723088786,True
0,31,155.0,0.08012443780899048,0.9999641042668372,0.0,0.8785885572433472,0.09338772296905518,0.0030321310334189716,0.00970426292269888,0.000984479337720329,0.003150802597218246,0.00855246650715433,0.0027768346651380277,True
0,32,160.0,0.08117297291755676,0.9999627945944667,0.0,0.8786227703094482,0.09342193603515625,0.0030335273012926226,0.00968804034646542,0.0009843311791796342,0.003143614423418135,0.008559193555623932,0.0027773216617645083,True
0,33,165.0,0.08298774063587189,0.9999617032008246,0.0,0.8787649273872375,0.09356409311294556,0.0030371584738024754,0.009821044490644582,0.0009843292533520754,0.0031829558694415386,0.008560107180800792,0.0027742918199925885,True
0,34,170.0,0.08543005585670471,0.9999606118071824,0.0,0.8790006637573242,0.09379982948303223,0.003041928247512429,0.0094850558477928,0.0009842158405082354,0.003068889682436469,0.008553218885865502,0.0027673938468756177,True
0,35,175.0,0.08838047087192535,0.9999593021348119,0.0,0.8793153166770935,0.09411448240280151,0.0030497522670968097,0.009793912177590514,0.0009847079093015106,0.0031622708796142426,0.008603276286759134,0.0027778368416600733,True
0,36,180.0,0.09173670411109924,0.999958319880534,0.0,0.8797194957733154,0.09451866149902344,0.0030975688503578377,0.009975733379221197,0.0009977908932118631,0.0032133897258640894,0.008940745869378477,0.0028799988758786924,True
0,37,185.0,0.09540911763906479,0.9999571193475276,0.0,0.880123496055603,0.09492266178131104,0.003066463820333917,0.009821083242011142,0.0009852708598644495,0.0031555653996279518,0.008665010606976564,0.002784113216943388,True
0,38,190.0,0.0993155986070633,0.9999559188145213,0.0,0.8805901408195496,0.09538930654525757,0.0030755304377068932,0.009725816690251188,0.0009855763097722148,0.0031167093668062434,0.008695468141458202,0.0027865266093708495,True
0,39,195.0,0.10337681323289871,0.9999548274208792,0.0,0.8810817003250122,0.09588086605072021,0.0030858201242459967,0.009810796320537385,0.0009862371676915582,0.0031355592958710685,0.008742836964569007,0.002794236351554179,True
0,40,200.0,0.10751307010650635,0.9999536268878728,0.0,0.881585955619812,0.09638512134552002,0.0030955840288346206,0.009930710734355586,0.0009867503131879031,0.003165519603418059,0.00880208070122813,0.0028057567837729883,True
0,41,205.0,0.11164389550685883,0.9999523172155023,0.0,0.8820666074752808,0.09686577320098877,0.0030661179866139296,0.0099179918943193,0.000974854728462863,0.003153368962722484,0.00853806114548228,0.002714627850564345,True
0,42,210.0,0.1156897097826004,0.9999512258218601,0.0,0.8825635313987732,0.0973626971244812,0.0030746236818107653,0.010007177962251479,0.0009751290684571601,0.003173816093964472,0.008580587447324196,0.0027213672664476085,True
0,43,215.0,0.11957423388957977,0.999950134428218,0.0,0.8830671310424805,0.09786629676818848,0.003121767114791159,0.009909256533401134,0.0009876856711217349,0.003135157213725882,0.008890034707293909,0.002812688958944494,True
0,44,220.0,0.12322515994310379,0.9999488247558475,0.0,0.8834929466247559,0.09829211235046387,0.003091504355105563,0.010203262504701271,0.0009758020263180233,0.0032205564293317124,0.008640059320457064,0.002727147182725557,True
0,45,225.0,0.12657204270362854,0.9999477333622053,0.0,0.8839341998100281,0.09873336553573608,0.0031375671677782227,0.009879364772226618,0.0009880128690362673,0.0031109898245701545,0.008954664328583632,0.0028198037273591214,True
0,46,230.0,0.12954533100128174,0.9999468602472916,0.0,0.8842819333076477,0.09908109903335571,0.003105666162027628,0.00979503187138775,0.0009756900448874466,0.0030772512522816565,0.008678091622461373,0.002726348281789789,True
0,47,235.0,0.13207891583442688,0.9999455505749211,0.0,0.8846058249473572,0.09940499067306519,0.0031117984810979113,0.0097900232189847,0.0009753715320844718,0.003068614501950201,0.008714971049360996,0.0027316468968414517,True
0,48,240.0,0.1341165155172348,0.9999445683206432,0.0,0.884874701499939,0.09967386722564697,0.003117720777151715,0.009918418728081413,0.0009750916004203914,0.003102063168094241,0.008748585021309738,0.002736188510645338,True
0,49,245.0,0.13561928272247314,0.9999433677876368,0.0,0.8850839138031006,0.0998830795288086,0.003121546380027266,0.009677203078206187,0.0009743788854370144,0.003020702306338254,0.00874328832080955,0.0027291843502932223,True
